ind_id,Citation.number,Citation,Year,Global.Change.Driver,Effect,Endpoint,Endpoint_Host_Parasite,Native.host.type,Ectothermic.host,Enemy.type,Ectoparasite,Vector,Vector.borne,Free.living.stages,Route,Macroparasite,Human.Parasite,Zoonotic,Venue,Habitat,Enemy_Random_Effect,Enemy_Random_EffectIS,Native.host,ContinentUse,humanendpoint,Predictor_Type,Error_Type,MeanControl,VarianceControl,SampleSizeControl,MeanTreatment,VarianceTreatment,SampleSizeTreatment,Coefficient,CoefficientVariance,Coef_Type,SD_Y,SDControl,SDTreatment,Sample_size,SMDH_yi,SMDH_vi,SMDH_viC,LRR_yi,LRR_vi,LRR_viC
173,205,"Ferraguti, M., et al. (2016). ""Effects of landscape anthropization on mosquito community composition and abundance."" Scientific Reports 6.",2016,HLC,Urbanization,Parasite abundance,Parasite,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos1,Mosquitos1,Several,Europe,No,Categorical,SE,7.07,0.42,15,5.46,0.42,15,NA,NA,,NA,1.626653005,1.626653005,30,-0.962971636,0.150903002,0.150903002,-0.25841169,0.009446226,0.009446226
174,205,"Ferraguti, M., et al. (2016). ""Effects of landscape anthropization on mosquito community composition and abundance."" Scientific Reports 6.",2016,HLC,Urbanization,Parasite richness,Parasite,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos1,Mosquitos1,Several,Europe,No,Categorical,SE,7.73,0.42,15,5.46,0.42,15,NA,NA,,NA,1.626653005,1.626653005,30,-1.357730194,0.166388599,0.166388599,-0.347660073,0.008869318,0.008869318
190,240,"Froeschke, G., et al. (2013). ""Life history strategy influences parasite responses to habitat fragmentation."" International Journal for Parasitology 43(14): 1109-1118.",2013,HLC,Forest Fragmentation,Parasite abundance,Parasite,Mammal,No,NA,No,No,No,Yes,NA,Yes,Yes,NA,Field,Terrestrial,Overall Ecto and Endoparasites,Overall Ecto and Endoparasites,Rhabdomys pumilio,Africa,No,Categorical,SD,2.29013,0.20528,5,2.58789,0.16862,5,NA,NA,,NA,0.20528,0.16862,10,1.430897069,0.515647049,0.515647049,0.122234287,0.002456048,0.002456048
275,333,"Ibekwe, A. M., et al. (2013). ""Potential Human Pathogenic Bacteria in a Mixed Urban Watershed as Revealed by Pyrosequencing."" Plos One 8(11).",2013,HLC,Urbanization,Parasite abundance,Parasite,Mammal,No,Bacteria,No,No,No,Yes,Direct,No,Yes,NA,Field,Terrestrial,Human pathogenic bacteria,Human pathogenic bacteria,Homo sapiens,North America,Yes,Categorical,SD,3.95,0.113,2,6.215,2.44,2,NA,NA,,NA,0.113,2.44,4,0.739866244,0.723369405,0.723369405,0.453250146,0.077476009,0.077476009
348,392,"La Rosa, G., et al. (2017). ""The impact of anthropogenic pressure on the virological quality of water from the Tiber River, Italy."" Letters in Applied Microbiology 65(4): 298-305.",2017,HLC,Urbanization,Parasite prevalence/incidence,Parasite,Mammal,No,Virus,No,No,No,Yes,Direct,No,Yes,NA,Field,Freshwater,Several human enteric viruses,Several human enteric viruses,Homo sapiens,Europe,Yes,Categorical,SD,0,0,2,0.875,0.1768,2,NA,NA,,NA,0,0.1768,4,3.948806508,3.118334393,3.118334393,NA,NA,NA
441,514,"Noden, B. H., et al. (2017). ""Risk of encountering ticks and tick-borne pathogens in a rapidly growing metropolitan area in the US Great Plains."" Ticks and Tick-Borne Diseases 8(1): 119-124.",2017,HLC,Urbanization,vector abundance,Parasite,NA,Yes,Arthropod,Yes,Yes,No,Yes,Complex,Yes,Yes,NA,Field,Terrestrial,Ticks2,Ticks2,None,North America,No,Categorical,SE,22.93,21.29,3,0.386,0.204,7,NA,NA,,NA,36.87536169,0.539733267,10,-0.780383747,0.938768029,0.938768029,-4.084364006,1.141380864,1.141380864
503,572,"Pisanu, B., M. Marsot, J. Marmet, J. L. Chapuis, D. Reale, and G. Vourc'h. 2010. Introduced Siberian chipmunks are more heavily infested by ixodid ticks than are native bank voles in a suburban forest in France. International Journal for Parasitology 40:1277-1283.",2010,IS,Enemy Release,Parasite abundance,Parasite,Mammal,No,Arthropod,Yes,Yes,No,Yes,Direct,Yes,NA,NA,Field,Terrestrial,Ixodes ticks,Ixodes ticks_Tamms sthincus barben,Myodes glareolus,Europe,No,Categorical,SD,21.8125,17.1711116,48,2.25,2.05287255,8,NA,NA,,NA,17.1711116,2.05287255,56,1.577436257,0.069755806,0.069755806,2.271552984,0.116966986,0.116966986
595,694,"Steiger, D. B. M., et al. (2016). ""Land Use Influences Mosquito Communities and Disease Risk on Remote Tropical Islands: A Case Study Using a Novel Sampling Technique."" American Journal of Tropical Medicine and Hygiene 94(2): 314-321.",2016,HLC,Urbanization,Parasite richness,Parasite,Mammal,No,Arthropod,Yes,Yes,No,Yes,Complex,Yes,Yes,NA,Field,Terrestrial,Human disease-vectoring mosquitos,Human disease-vectoring mosquitos,Homo sapiens,Australia,Yes,Categorical,SD,2108.75,1553.86601,4,668.5,587.3514,4,NA,NA,,NA,1553.86601,587.3514,8,-1.065055715,0.614446833,0.614446833,-1.148814237,0.328732133,0.328732133
606,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Deforestation,Vector abundance,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Medically important mosquitos,Medically important mosquitos,None,Asia,No,Categorical,95CI,1549.29577,915.492958,4,2253.52113,1338.02817,4,NA,NA,,NA,934.1764878,1365.334867,8,0.522921276,0.522457815,0.522457815,0.374693454,0.182661552,0.182661552
607,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Urbanization,Vector abundance,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos3,Mosquitos3,None,Asia,No,Categorical,95CI,2394.3662,2042.25352,4,1690.14085,915.492958,4,NA,NA,,NA,2083.932163,934.1764878,8,-0.378803126,0.516024409,0.516024409,-0.348306693,0.26575162,0.26575162
608,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Urbanization,Vector abundance,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos3,Mosquitos3,None,Asia,No,Categorical,95CI,2394.3662,845.070423,3,1690.14085,915.492958,4,NA,NA,,NA,746.7882187,934.1764878,7,-0.700111776,0.597766837,0.597766837,-0.348306693,0.108801086,0.108801086
609,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Urbanization,Vector abundance,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos3,Mosquitos3,None,Asia,No,Categorical,95CI,1690.14085,915.492958,4,1690.14085,915.492958,4,NA,NA,,NA,934.1764878,934.1764878,8,0,0.503008215,0.503008215,0,0.1527503,0.1527503
610,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Deforestation,Vector richness,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Medically important mosquitos,Medically important mosquitos,None,Asia,No,Categorical,95CI,21.62,5.68,4,26.59,2.71,4,NA,NA,,NA,5.795918367,2.765306122,8,0.950708546,0.582333392,0.582333392,0.206916393,0.020670795,0.020670795
611,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Urbanization,Vector richness,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos3,Mosquitos3,None,Asia,No,Categorical,95CI,28.37,3.17,4,22.89,5.24,4,NA,NA,,NA,3.234693878,5.346938776,8,-1.077212864,0.591687153,0.591687153,-0.214632115,0.016891429,0.016891429
612,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Urbanization,Vector richness,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos3,Mosquitos3,None,Asia,No,Categorical,95CI,18.2,3.38,3,22.89,5.24,4,NA,NA,,NA,2.986903944,5.346938776,7,0.910484784,0.592295797,0.592295797,0.22927854,0.022619374,0.022619374
613,726,"Thongsripong, P., et al. (2013). ""Mosquito Vector Diversity across Habitats in Central Thailand Endemic for Dengue and Other Arthropod-Borne Diseases."" Plos Neglected Tropical Diseases 7(10).",2013,HLC,Urbanization,Vector richness,Host,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos3,Mosquitos3,None,Asia,No,Categorical,95CI,23.56,2.94,4,22.89,5.24,4,NA,NA,,NA,3,5.346938776,8,-0.134241942,0.504449035,0.504449035,-0.028850225,0.017694913,0.017694913
635,754,"Vasco, G., et al. (2014). ""Identifying Etiological Agents Causing Diarrhea in Low Income Ecuadorian Communities."" American Journal of Tropical Medicine and Hygiene 91(3): 563-569.",2014,HLC,Urbanization,Parasite prevalence/incidence,Parasite,Mammal,No,Bacteria,No,No,No,Yes,Direct,No,Yes,NA,Field,Terrestrial,bacteria,bacteria,Homo sapiens,South America,Yes,Categorical,95CI,7.36,6.4,151,4.4,5.05,200,NA,NA,,NA,40.1247534,36.43764536,351,-0.077066931,0.011807573,0.011807573,-0.514455392,0.539728644,0.539728644
645,779,"Watts, A. G., et al. (2015). ""Urbanization, Grassland, and Diet Influence Coyote (Canis latrans) Parasitism Structure."" Ecohealth 12(4): 645-659.",2015,HLC,Urbanization,Parasite prevalence/incidence,Parasite,Mammal,No,Helminth,No,No,NA,NA,Complex,Yes,Yes,NA,Field,Terrestrial,Helminths2,Helminths2,Canis latrans,North America,No,Categorical,95CI,15.5,21.07154,6,6.375,11.2479,8,NA,NA,,NA,26.33393933,16.23156401,14,-0.390440054,0.330567853,0.330567853,-0.888455933,1.291425457,1.291425457
646,779,"Watts, A. G., et al. (2015). ""Urbanization, Grassland, and Diet Influence Coyote (Canis latrans) Parasitism Structure."" Ecohealth 12(4): 645-659.",2015,HLC,Urbanization,Parasite prevalence/incidence,Parasite,Mammal,No,Helminth,No,No,NA,NA,Direct,No,Yes,NA,Field,Terrestrial,Helminths2,Helminths2,Canis latrans,North America,No,Categorical,95CI,16.9,7.82601,6,15,10.094,8,NA,NA,,NA,9.780475113,14.56639969,14,-0.143336421,0.282175661,0.282175661,-0.119263421,0.173698474,0.173698474
647,779,"Watts, A. G., et al. (2015). ""Urbanization, Grassland, and Diet Influence Coyote (Canis latrans) Parasitism Structure."" Ecohealth 12(4): 645-659.",2015,HLC,Urbanization,Parasite prevalence/incidence,Parasite,Mammal,No,Protist,No,No,NA,NA,Complex,No,Yes,NA,Field,Terrestrial,Protozoa,Protozoa,Canis latrans,North America,No,Categorical,95CI,3.91667,4.544,6,5.1875,4.7261,8,NA,NA,,NA,5.678817036,6.820117058,14,0.189535383,0.292584019,0.292584019,0.281010083,0.566434458,0.566434458
648,779,"Watts, A. G., et al. (2015). ""Urbanization, Grassland, and Diet Influence Coyote (Canis latrans) Parasitism Structure."" Ecohealth 12(4): 645-659.",2015,HLC,Urbanization,Parasite prevalence/incidence,Parasite,Mammal,No,Protist,No,No,NA,NA,Complex,Yes,Yes,NA,Field,Terrestrial,Protozoa,Protozoa,Canis latrans,North America,No,Categorical,95CI,3,4.81663783,6,2.125,4.0155946,8,NA,NA,,NA,6.019543347,5.794804433,14,-0.138611285,0.302973635,0.302973635,-0.344840486,1.600560191,1.600560191
899,CN_464,"Zabicka, J. 1994. Cerebrospinal meningitis and encephalitis in 1992. Przeglad epidemiologiczny 48:79-87.",1994,HLC,Urbanization,incidence,Host,Mammal,No,Bacteria,No,No,No,No,Direct,No,Yes,NA,Field,Terrestrial,Bacterial menegitits,Bacterial menegitits_,Mammals,Europe,No,Categorical,SD,6.3,0.424264069,2,4.35,0.353553391,2,NA,NA,,NA,0.424264069,0.353553391,4,-2.817245882,1.288754506,1.288754506,-0.370373788,0.00557052,0.00557052
930,CN_100,"Dwijayanth, N. K. A. Mithayayi, P. A. P. Prashanti, N. A. P. Megapuspita, G. A. T. D. (2017). ""Rural area residency associated with epithelial cervical cell infection occurrences among Balinese women (2013–2016)."" Advanced Science Letters 23(4): 3602-3605.",2017,HLC,Urbanization,Prevalence,Parasite,Mammal,No,NA,No,No,NA,NA,NA,NA,Yes,NA,Field,Terrestrial,Cervical epithelial cell infection,Cervical epithelial cell infection_,Homo sapiens,Asia,Yes,Categorical,SE,0.42056075,0.04772286,107,0.19672131,0.03598976,122,NA,NA,,NA,0.493649102,0.397519892,229,-0.497800529,0.018413989,0.018413989,-0.759800883,0.046346381,0.046346381
983,CN_344,"Roy, B. A., K. Hudson, M. Visser, and B. R. Johnson. 2014. “Grassland Fires May Favor Native over Introduced Plants by Reducing Pathogen Loads.” Ecology 95 (7): 1897–1906. https://doi.org/10.1890/13-1362.1.",2014,IS,Enemy Release,Host Damage,Host,Plant,Yes,Fungi,Yes,No,No,No,Direct,Yes,No,NA,Field,Terrestrial,Fungi (29 kinds),Fungi (29 kinds)_Several Plant species,Several plant species,North America,No,Categorical,SE,3.449392713,0.388663968,255,5.271255061,1.141700405,168,NA,NA,,NA,6.206465855,14.79812856,423,0.160273957,0.011378498,0.011378498,0.424070296,0.059607062,0.059607062
984,CN_345,"Roy, B. A., T. Coulson, W. Blaser, T. Policha, J. L. Stewart, G. K. Blaisdell, and S. GüSewell. 2011. “Population Regulation by Enemies of the Grass Brachypodium Sylvaticum: Demography in Native and Invaded Ranges.” Ecology 92 (3): 665–75. https://doi.org/10.1890/09-2006.1.",2011,IS,Enemy Release,Host Damage,Host,Plant,Yes,Fungi,Yes,No,No,No,Direct,Yes,No,NA,Field,Terrestrial,Fungi (9 kinds),Fungi (9 kinds)_Several Plant species,Several plant species,NA,No,Categorical,SE,3.105855856,0.496621622,72,1.458333333,0.394144144,72,NA,NA,,NA,4.213974199,3.344423964,144,-0.430796162,0.028551543,0.028551543,-0.755995084,0.098613542,0.098613542
985,CN_260,"Maron, J. L., M. Vilà, and J. Arnason. 2004. “Loss of Enemy Resistance among Introduced Populations of St. John’s Wort (Hypericum Perforatum).” Ecology 85 (12): 3243–53. https://doi.org/10.1890/04-0297.",2004,IS,Enemy Release,Host Disease Resistance,Host,Plant,Yes,Fungi,Yes,No,No,No,Direct,Yes,No,NA,Field,Terrestrial,Fungus,Fungus_Hypericum perforatum,Hypericum perforatum,NA,No,Categorical,SE,29.15730337,2.696629213,300,17.78089888,2.865168539,300,NA,NA,,NA,46.70698806,49.62617482,600,-0.235784146,0.006718724,0.006718724,-0.494580641,0.034518852,0.034518852
991,CN_7,[Prevalence of intestinal parasitic disease in three provinces in Morocco],1999,HLC,Urbanization,prevalence,Parasite,Mammal,No,NA,No,No,No,NA,NA,Yes,Yes,NA,Field,Terrestrial,GI parasites,GI parasites_,mammals,Africa,No,Categorical,SD,0.477,0.12,3,0.307,0.022,3,NA,NA,,NA,0.12,0.022,6,-1.572331626,1.005329369,1.005329369,-0.440668743,0.02280799,0.02280799
992,CN_193,"Human intestinal parasites in Mahajanga, Madagascar: The kingdom of the protozoa",2018,HLC,Urbanization,prevalence,Parasite,Mammal,No,NA,No,No,No,NA,NA,Yes,Yes,NA,Field,Terrestrial,GI parasites,GI parasites_,humans,Africa,Yes,Categorical,SD,58.275,0.077781746,2,78.075,14.3199872,4,NA,NA,,NA,0.077781746,14.3199872,6,1.560167452,0.682691402,0.682691402,0.292496718,0.008410993,0.008410993
1011,CN_298,"Nyan, O. A., G. E. L. Walraven, W. A. S. Banya, P. Milligan, M. Van Der Sande, S. M. Ceesay, G. Del Prete, and K. P. W. J. McAdam. 2001. Atopy, intestinal helminth infection and total serum IgE in rural and urban adult Gambian communities. Clinical and Experimental Allergy 31:1672-1678.",2001,HLC,Urbanization,prevalence,Parasite,Mammal,No,Helminth,No,No,No,NA,NA,Yes,Yes,NA,Field,Terrestrial,Helminth,Helminth_,Mammals,Africa,No,Categorical,95CI,0.082,2.7,286,0.17,10.5,143,NA,NA,,NA,23.29650164,64.06211112,429,0.001822478,0.013212535,0.013212535,0.72907919,1275.264207,8.643592774
1012,CN_351,"Sarabeev, V., J. A. Balbuena, and S. Morand. 2017. “Testing the Enemy Release Hypothesis: Abundance and Distribution Patterns of Helminth Communities in Grey Mullets (Teleostei: Mugilidae) Reveal the Success of Invasive Species.” International Journal for Parasitology 47 (10–11): 687–96. https://doi.org/10.1016/j.ijpara.2017.05.006.",2017,IS,Enemy Release,Parasite Abundance,Parasite,Amphibian/Reptile,Yes,Helminth,No,No,No,NA,NA,Yes,No,NA,Field,Marine,Helminths,Helminths_Mugil cephalus,Liza haematocheilus,NA,No,Categorical,SD,84.54,16.9,2,834.92,453.6,8,NA,NA,,NA,16.9,453.6,10,2.110410946,0.49327912,0.49327912,2.290111117,0.056875982,0.056875982
1013,CN_351,"Sarabeev, V., J. A. Balbuena, and S. Morand. 2017. “Testing the Enemy Release Hypothesis: Abundance and Distribution Patterns of Helminth Communities in Grey Mullets (Teleostei: Mugilidae) Reveal the Success of Invasive Species.” International Journal for Parasitology 47 (10–11): 687–96. https://doi.org/10.1016/j.ijpara.2017.05.006.",2017,IS,Enemy Release,Parasite Abundance,Parasite,Amphibian/Reptile,Yes,Helminth,No,No,No,NA,NA,Yes,No,NA,Field,Marine,Helminths,Helminths_Liza haematocheilus,Mugil cephalus,NA,No,Categorical,SD,53.15,45,14,181.18,96.2,8,NA,NA,,NA,45,96.2,22,1.639959055,0.365224375,0.365224375,1.226372907,0.08644272,0.08644272
1014,CN_86,"Datiko, J., G. Terefe, and J. Bekele. 2012. Anthelmintic utilisation practices and prevalence of gastrointestinal helminth infections in sheep kept in the urban and peri-urban areas of Bishoftu Town. Tropical Animal Health and Production 45:633-639.",2012,HLC,Urbanization,prevalence,Parasite,Mammal,No,Helminth,No,No,No,NA,NA,Yes,Yes,NA,Field,Terrestrial,"Helminths (Haemonchus, Oesophagostomum, Trichuris, Trichostrongylus, Moniezia)","Helminths (Haemonchus, Oesophagostomum, Trichuris, Trichostrongylus, Moniezia)_","Mammals (ruminants, sometimes humans)",Africa,Yes,Categorical,95CI,0.536,0.0735,179,0.542,0.0865,131,NA,NA,,NA,0.501715806,0.505121302,310,0.011889394,0.013259678,0.013259678,0.01113184,0.011524899,0.011524899
1026,CN_77,"Coroiu, Z., Literat, A., & Cocean, S. (1993). Parasitic intestinal infections in children's collectives in different environments and geographical areas. Bacteriologia, Virusologia, Parazitologia, Epidemiologia (Bucharest, Romania: 1990), 38(3-4), 56-61.",1993,HLC,Urbanization,prevalence,Parasite,Mammal,No,NA,No,No,No,NA,NA,Yes,Yes,NA,Field,Terrestrial,interstinal_parasites,interstinal_parasites_,Homo_sapiens,Europe,Yes,Categorical,SD,0.251,0.112,2,0.177,0.008,4,NA,NA,,NA,0.112,0.008,6,-0.743641604,1.44317603,1.44317603,-0.349303207,0.100064684,0.100064684
1027,CN_183,"Hawash, Y. A. Dorgham, L. S. Amir, E. A. M. Sharaf, O. F. (2015). ""Prevalence of Intestinal Protozoa among Saudi Patients with Chronic Renal Failure: A Case-Control Study."" Journal of Tropical Medicine 2015.
",2015,HLC,Urbanization,Prevalence,Parasite,Mammal,No,Protist,No,No,No,NA,NA,Yes,Yes,NA,Field,Terrestrial,Intestinal protozoa,Intestinal protozoa_,Homo sapiens,Asia,Yes,Categorical,SE,0.58823529,0.11936462,17,0.30120482,0.05035781,83,NA,NA,,NA,0.492152936,0.458781483,100,-0.598678556,0.080647929,0.080647929,-0.669336522,0.069128271,0.069128271
1028,CN_341,"Ritchie, L. S., HUNTER III, G. W., Yokogawa, M., Pan, C., McCONNOUGHEY, J., HISHINUMA, Y., ... & KNOX, C. (1954). Parasitological studies in the Far East X. An epidemiologic survey of Hokkaido, Japan. Japanese Journal of Medical Science and Biology, 7(5), 523-537.",1954,HLC,Urbanization,prevalence,Parasite,Mammal,No,Helminth,No,No,No,NA,NA,Yes,Yes,NA,Field,Terrestrial,intestinal_helminths,intestinal_helminths_,Homo_sapiens,Asia,Yes,Categorical,SD,0.472,0.088,10,0.408,0.06,4,NA,NA,,NA,0.088,0.06,14,-0.795354454,0.341863977,0.341863977,-0.145711811,0.008882587,0.008882587
